note,description,date,type,id,search_index,timestamp,pin,amount
Cash,"500 - Cash 
20 - Clockroom at Malampuzha
10 - Restroom at Malampuzha
50 - Poo vijayadhasami 
10 - banana
200 - Pertol
10 - Sivan Kovil
50 - Pani Puri
50 - Medi Amma
40 - Bread
50 - Elanir
10 - god ayyappaan",03-10-2022 11:30:00 AM,Outgoing,1664856078335000,"['cash', 'h', 'sh', 'c', 'a', 'ash', 's', 'ca', 'cas']",2022-10-03 06:00:00+00:00,False,-0.0
Malampuzha,Malampuzha - Entry,03-10-2022 11:30:00 AM,Outgoing,1664859599283000,"['h', 'malampuz', 'z', 'ma', 'mpuzha', 'puzha', 'mal', 'a', 'malampuzha', 'zha', 'malamp', 'u', 'malampuzh', 'l', 'p', 'alampuzha', 'malampu', 'ampuzha', 'malam', 'lampuzha', 'uzha', 'mala', 'm', 'ha']",2022-10-03 06:00:00+00:00,False,-60.0
Food,Food - Chips at Malampuzha,03-10-2022 12:00:00 PM,Outgoing,1664859636170000,"['f', 'ood', 'fo', 'o', 'd', 'food', 'od', 'foo']",2022-10-03 06:30:00+00:00,False,-40.0
Medi,Medi - Medicines via Malampuzha,03-10-2022 9:15:00 AM,Outgoing,1664859827341000,"['i', 'e', 'medi', 'med', 'd', 'me', 'm', 'di', 'edi']",2022-10-03 03:45:00+00:00,False,-30.0
Malampuzha,Malampuzha - Parking,03-10-2022 11:00:00 AM,Outgoing,1664859868336000,"['h', 'malampuz', 'z', 'ma', 'mpuzha', 'puzha', 'mal', 'a', 'malampuzha', 'zha', 'malamp', 'u', 'malampuzh', 'l', 'p', 'alampuzha', 'malampu', 'ampuzha', 'malam', 'lampuzha', 'uzha', 'mala', 'm', 'ha']",2022-10-03 05:30:00+00:00,False,-20.0
Food,Food - Ice at Malampuzha,03-10-2022 12:15:00 PM,Outgoing,1664859894193000,"['f', 'ood', 'fo', 'o', 'd', 'food', 'od', 'foo']",2022-10-03 06:45:00+00:00,False,-50.0
Malampuzha,Malampuzha - Clockroom,03-10-2022 12:25:00 PM,Outgoing,1664860092961000,"['h', 'malampuz', 'z', 'ma', 'mpuzha', 'puzha', 'mal', 'a', 'malampuzha', 'zha', 'malamp', 'u', 'malampuzh', 'l', 'p', 'alampuzha', 'malampu', 'ampuzha', 'malam', 'lampuzha', 'uzha', 'mala', 'm', 'ha']",2022-10-03 06:55:00+00:00,False,-20.0
Malampuzha,Malampuzha - Restroom,03-10-2022 11:50:00 AM,Outgoing,1664860116626000,"['h', 'malampuz', 'z', 'ma', 'mpuzha', 'puzha', 'mal', 'a', 'malampuzha', 'zha', 'malamp', 'u', 'malampuzh', 'l', 'p', 'alampuzha', 'malampu', 'ampuzha', 'malam', 'lampuzha', 'uzha', 'mala', 'm', 'ha']",2022-10-03 06:20:00+00:00,False,-10.0
Poo,Poo - Vijayadhasami,04-10-2022 3:05:00 PM,Outgoing,1664891741040000,"['p', 'oo', 'o', 'poo', 'po']",2022-10-04 09:35:00+00:00,False,-50.0
Food,Food - Banana,04-10-2022 3:15:00 PM,Outgoing,1664891771658000,"['f', 'ood', 'fo', 'o', 'd', 'food', 'od', 'foo']",2022-10-04 09:45:00+00:00,False,-10.0
Medi,Medi - amma,05-10-2022 9:48:32 AM,Outgoing,1664943526214000,"['i', 'e', 'medi', 'med', 'd', 'me', 'm', 'di', 'edi']",2022-10-05 04:18:32.311000+00:00,False,-35.0
Petroleum,Petroleum,04-10-2022 7:00:00 PM,Outgoing,1664952145212000,"['petrol', 'roleum', 'petrole', 'o', 'e', 'um', 'petroleu', 'troleum', 'etroleum', 'oleum', 'u', 'l', 'p', 't', 'eum', 'leum', 'petroleum', 'r', 'pet', 'petro', 'm', 'petr', 'pe']",2022-10-04 13:30:00+00:00,False,-200.0
Food,Food - Pani Puri,04-10-2022 7:30:00 PM,Outgoing,1664952198795000,"['f', 'ood', 'fo', 'o', 'd', 'food', 'od', 'foo']",2022-10-04 14:00:00+00:00,False,-50.0
God,God - Sivan Kovil,04-10-2022 7:15:00 PM,Outgoing,1664952226828000,"['god', 'o', 'od', 'g', 'd', 'go']",2022-10-04 13:45:00+00:00,False,-10.0
Medi,Medi - Amma,05-10-2022 8:00:00 AM,Outgoing,1664952291923000,"['i', 'e', 'medi', 'med', 'd', 'me', 'm', 'di', 'edi']",2022-10-05 02:30:00+00:00,False,-50.0
Food,Food - Elanir,05-10-2022 11:30:00 AM,Outgoing,1664952310575000,"['f', 'ood', 'fo', 'o', 'd', 'food', 'od', 'foo']",2022-10-05 06:00:00+00:00,False,-50.0
Food,Food - bread,05-10-2022 8:45:00 AM,Outgoing,1664952672116000,"['f', 'ood', 'fo', 'o', 'd', 'food', 'od', 'foo']",2022-10-05 03:15:00+00:00,False,-40.0
Movie,Movie - PS1,05-10-2022 12:21:39 PM,Outgoing,1664952741743000,"['v', 'ovie', 'i', 'e', 'o', 'vie', 'm', 'movie', 'ie', 'mov', 'movi', 'mo']",2022-10-05 06:51:39.457000+00:00,False,-452.36
Cash,"Cash atm 200
Poo arali 40
Poo nool 10
Medi sharika 50
Unknown 60
Dairy milk 40 for swathi",05-10-2022 6:00:16 PM,Outgoing,1664973024685000,"['cash', 'h', 'sh', 'c', 'a', 'ash', 's', 'ca', 'cas']",2022-10-05 12:30:16.914000+00:00,False,-0.0
Food,Food - aroma,05-10-2022 6:51:33 PM,Outgoing,1664976102901000,"['f', 'ood', 'fo', 'o', 'd', 'food', 'od', 'foo']",2022-10-05 13:21:33.128000+00:00,False,-175.0
Food,Food - parota,05-10-2022 9:18:28 PM,Outgoing,1664984918068000,"['f', 'ood', 'fo', 'o', 'd', 'food', 'od', 'foo']",2022-10-05 15:48:28.433000+00:00,False,-60.0
Medi,Medi. Vicks,06-10-2022 11:58:35 AM,Outgoing,1665037726116000,"['i', 'e', 'medi', 'med', 'd', 'me', 'm', 'di', 'edi']",2022-10-06 06:28:35.956000+00:00,False,-22.0
Poo,Poo - arali,06-10-2022 8:28:37 PM,Outgoing,1665068329871000,"['p', 'oo', 'o', 'poo', 'po']",2022-10-06 14:58:37.358000+00:00,False,-40.0
God,God ayyappan,06-10-2022 10:30:00 AM,Outgoing,1665068449861000,"['god', 'o', 'od', 'g', 'd', 'go']",2022-10-06 05:00:00+00:00,False,-10.0
Poo,Poo nool,06-10-2022 8:31:48 PM,Outgoing,1665068523431000,"['p', 'oo', 'o', 'poo', 'po']",2022-10-06 15:01:48.332000+00:00,False,-10.0
Medi,Medi - Sharika,06-10-2022 9:35:00 AM,Outgoing,1665071405284000,"['i', 'e', 'medi', 'med', 'd', 'me', 'm', 'di', 'edi']",2022-10-06 04:05:00+00:00,False,-50.0
Food,Food shawarma,06-10-2022 9:45:56 PM,Outgoing,1665072968289000,"['f', 'ood', 'fo', 'o', 'd', 'food', 'od', 'foo']",2022-10-06 16:15:56.405000+00:00,False,-90.0
Food,Food - maggi,07-10-2022 6:37:47 PM,Outgoing,1665148078937000,"['f', 'ood', 'fo', 'o', 'd', 'food', 'od', 'foo']",2022-10-07 13:07:47.001000+00:00,False,-50.0
PG,PG - 5 days 400,07-10-2022 6:57:40 PM,Outgoing,1665149278152000,"['p', 'g', 'pg']",2022-10-07 13:27:40.571000+00:00,False,-2000.0
